producto,descripcion,unidad,ult_venta,ult_compra,costo_prom,existencias,ventas_monto,ventas_cant
BAY2G3/16,"BAYONETA 2 GIROS 3/16""ØX17.5MM NIQUELADA",PZ,2022-02-18,2022-10-04,25.38378,239,771.73,16
BAY2G5/16,"BAYONETA 2 GIROS 5/16""ØX17.5MM NIQUELADA",PZ,,2022-10-04,26,49,0,0
BB1 1/2X1/2-300W,"BOQUILLA 11/2X1""1/2"" 300W 240V""",PZ,2023-08-02,2023-07-28,300,0,26194.8,60
BB11/2X1/2-300W,"BOQUILLA 11/2X1""1/2"" 300W 440V""",PZ,2023-08-02,2023-07-28,310,0,10629.82,24
BB11/4X11/4ST,"BOQUILLA 1X1""  125W 240V""",PZ,2023-08-07,2023-07-28,280,0,9118.78,24
BB2X2ST,"BOQUILLA 2X2""  350W 240V""",PZ,2023-07-14,2023-07-28,300,0,12195.55,26
BCERCOCM2,BLOCK CONEXIÒN P/CABEZA MARINA 2 TERMINA,PZ,2023-07-27,2023-04-05,40.04,0,7667.84,82
BCERCOCM3,BLOCK CONEXIÓN P/CABEZA MAR MINI 3 TERM,PZ,2021-12-03,2022-10-10,63.69565,21,210,2
BCERCOCM4,BLOCK CONEXIÓN P/ CABEZA MAR 4 TERM,PZ,2022-12-01,2022-08-29,45.75138,14,164.18,1
BCERCOCMM3,BLOCK CONEXIÒN P/ CABEZA MAR 3 TERM,PZ,2021-12-01,2023-02-13,100,17,188,2
BCERCOCMM4,BLOCK CONEXIÓN P/CABEZA MAR MINI 4 TERM,PZ,,2023-04-05,122,20,0,0
BINOX5/8X7/16X1,"BUSHING INOXIDABLE 5/8X7/16X1""	TUS""",PZ,,2023-04-28,100,37,0,0
BOR3/161STD,"BORNE DE LATON C/CUERDA STD INT 3/16""	TU",PZ,,2023-07-18,3.91667,120,0,0
BRI15MMX1/2AC,"PLACA ACERO COMUN  Ø118MMX1/2""	TUS""",PZ,,2023-03-09,100,0,0,0
BRI3ACNOM150-4,"BRIDA AC 3 Ø NOM. C/4 BARR CIEGA""",PZ,,2023-04-19,378,0,0,0
BRIACINOX6NOM150,"BRIDA INOX 6""NOM 150 LBS CIEGA",PZ,,2022-12-20,1869,0,0,0
BRIGACNOM 150-8,"BRIDA AC 6Ø NOM. C/8 BARR"" 150 LBS CIEGA",PZ,,2023-06-14,956,0,0,0
BUS3/4X1/2X1 1/2,"BUSHING DE LATON 3/4X1/2X1 1/2 ""TUS""",PZ,,2023-01-16,48.11,16,0,0
BUSLAT1/2X5/16X1,"BUSHING DE LATON  1/2X5/16X1""	TUS""",PZ,,2023-06-26,31.23,35,0,0
BUSLAT3/4X1/2X1,"BUSHING DE LATON 3/4X1/2X1""	TUS""",PZ,,2023-04-14,53.52544,57,0,0
BUSLAT5/5X7/16,"BUSHING DE LATON 5/8X7/16X1""	TUS""",PZ,,2023-08-07,35.7,103,0,0
BUSLAT5/8X5/16X1,"BUSHING DE LATON 5/8X5/16X1""	TUS""",PZ,,2023-01-10,31.48,40,0,0
CABFV-10,CABLE FV CAL.10-300°,M,2023-07-18,2023-06-30,38.65513,400,40163.31,557
CABFV-10200°,CABLE FV C/SILICON CAL.10 200°,MT,2023-04-25,2023-01-16,28.67677,372,18714.57,369
CABFV-10250°,CABLE FV CAL.10-250°,M,2023-07-31,2023-08-03,36.2093,200,208510.64,2274.8
CABFV-12200°,CABLE FV C/SILICON CAL.12 200°,MT,2023-05-16,2023-01-16,25.13434,348,16804.96,405
CABFV-12250°,CABLE FV CAL.12-250°,MT,2023-08-09,2023-07-31,28.16096,179.5,200184.2,2658
CABFV-14250°,CABLE FV CAL.14-250°,MT,2023-08-09,2023-05-29,20.12487,110.1,41270,750
CABFV-16250°,CABLE FV CAL.16-250°,MT,2023-08-04,2023-02-24,14.94959,237.4,18250.35,637
CABFV-18250°,CABLE FV CAL.18-250°,MT,2023-07-19,2023-07-21,8.1337,291.8,17516,631
CABFV-18500°,CABLE FV CAL.18-500°,M,2023-06-22,2023-08-03,19.73087,291.19,2140.54,56
CABFV-20250°,CABLE FV CAL.20-250°,M,2022-10-28,2022-11-10,8.95,181.3,3751.28,209
CABFV-20500°,CABLE FV CAL.20-500°,M,2022-06-15,2023-07-21,15.94996,244.04,85.91,3
CABFV-8,CABLE FV CAL.8-250°,MT,2023-08-08,2023-05-31,78.64422,119.9,62791.43,423.3
CABFVNP-10,CABLE FV CAL.10-500°,MT,2023-06-29,2023-07-21,98.77359,303.4,164769.88,901
CABFVNP-12,CABLE FV CAL.12-500°,MT,2023-07-03,2023-07-24,84.60339,257.8,194401.59,1598.7
CABFVNP-14,CABLE FV CAL.14-500°,MT,2023-07-31,2023-07-21,46.01277,457.22,93150.31,989.4
CABFVNP-16,CABLE FV CAL.16-500°,MT,2023-08-08,2023-07-21,28.80052,431.92,18908.7,270
CABFVNP-8,CABLE FV CAL.8-500°,MT,2023-06-19,2023-06-19,163.17753,112.7,146314.23,564
CABFVS14,CABLE FV C/SILICON CAL.14 200°,M,2023-02-08,2023-02-08,21.78481,451,10640,319
CABFVS16,CABLE FV C/SILICON CAL.16 200°,MT,2023-01-13,2023-01-16,14.65067,300,4950,250
CABLEK20,CABLE P/TERMOPAR MALLA TK CAL.20,MT,2023-08-09,2023-06-30,31.38938,366.71,132899.83,2057
CABMARSTD,CABEZA MARINA DE ALUMINIO STD,PZ,2023-07-31,2023-08-07,168.17,18,5781.89,19
CABP1003HILOSM,CABLE P/PT100 3 HILOS MALLA CAL.24,M,2023-07-12,2023-07-11,22.51071,126.47,4800,100
CABPT100 3 HILOS,CABLE P/PT100 3 HILOS FORRO TEFLON CAL24,MT,2023-06-15,2023-05-31,27.89592,164.3,34007.65,430
CABPT1003HILOPVC,CABLE P/PT100 3 HILOS FORRO PVC CAL.20,M,,2023-01-30,54.62963,77,0,0
CABPT1003HILOSMT,CABLE P/PT100 3 HILOS MALLA/TEFLON C24,MT,2023-03-08,2023-03-09,53,100,9275,100
CABPT100T4,CABLE P/PT100 4 HILOS CAL.24  TEFLON,M,2023-08-04,2022-09-29,68.70928,100,12873.41,159
CABTERFVCK-16,"CABLE P/TERMOPAR FV TIPO K"" CAL.16""",M,2023-04-05,2023-03-31,96.37,72,64161.84,420
CABTERFVCK-20,"CABLE P/TERMOPAR FV TIPO K"" CAL.20""",M,2023-07-13,2023-06-21,30,114,9940,222
CABTERJPVC-20,CABLE P/TERMOPAR PVC TJ CAL.20,M,2023-05-15,2023-01-16,16.43252,222.34,32909.41,943.65
CABTERKPVC-20,CABLE P/TERMOPAR PVC TK CAL.20,M,2022-12-09,2022-11-30,21.20504,87.35,44524.74,979
CABTERM-24,CABLE P/TERMOPAR MALLA TK CAL.24,MT,2022-01-18,2023-01-20,56,195.96,4664.29,58
CABTERMS-20,CABLE P/TERMOPAR MALLA TJ CAL.20,MT,2023-08-09,2023-06-30,17.35039,16.25,144575.89,3337
CABTERTJ-20,CABLE P/TERMOPAR TEFLON  TJ CAL.20,M,2023-07-12,2023-01-16,30,132.3,25063.84,490
CABTERTJ-24,CABLE P/TERMOPAR MALLA TJ CAL. 24,MT,2022-06-15,2023-06-30,21.28289,137.72,160,2
CABTERTPVC-20,CABLE P/TERMOPAR PVC TT CAL.20,M,2023-06-13,2023-06-09,23.02266,325,84606.29,2202
CABTERTR-20,CABLE P/TERMOPAR FV TIPO R CAL.20,MT,,2023-02-28,105,2.9,0,0
CAJAALUM114X34.8,CAJA DE REGISTRO OVAL 110X34.8 ALUM,PZ,,2022-09-30,42.16,0,0,0
CAJAGRISRESIS,CAJA GRIS P/RESISTENCIA DE GALVANOPLASTI,PZ,,2023-06-16,750,2,0,0
CAJCONCH3/4,"CAJA  CONEXÒN CHICA NARANJA 1 Ø""",PZ,2022-05-13,2023-04-28,66.66667,15,370.33,4
CAJCONG1,"CAJA CONEXIÓN GRANDE NARANJA 1 Ø""",PZ,2021-06-30,2023-04-28,100,14,0,0
CARBONBR,CARBON DE GRAFITO PARA SISTEMA ELECTRICO,PZ,,2023-03-16,46.31,8,0,0
CDINX9Oin1/2NPT,"CODO INOX 304  90° NPT 1/2""	TUS""",PZ,,2022-11-30,42.5,7,0,0
CDROSINOX 1/4,"CONECTOR DOBLEINOX 1/4 BARRENOX1/2X1/2""""",PZ,2021-02-17,2023-07-18,120,44,0,0
CER-CA-058,"CERAMICO P/TUBO DE CUARZO 5/8"" CA-058",PZ,,2023-07-10,39.33333,30,0,0
"CER-CA-1/2""","CERAMICO P/TUBO DE CUARZO 1/2""",PZ,,2023-07-10,35,30,0,0
CER-CA-3/4,"CERAMICO P/TUBO DE CUARZO 3/4""",PZ,,2023-07-10,45,30,0,0
CER-CA-3/8,"CERAMICO P/TUBO DE CUARZO 3/8""",PZ,,2023-07-10,30,30,0,0
CER0022,BLOCK CERAMICO 2 PARES 10 AMP,PZ,2023-07-28,2023-07-10,17.16,60,3737.98,109
CER0023,BLOCK CERAMICO 2 PARES 30 AMP,PZ,2023-07-19,2023-06-09,22.18157,70,13047.57,322
CER0024,BLOCK CERAMICO 2 PARES 5 AMP,PZ,2023-06-23,2023-07-10,11.92391,92,569.88,23
CER0026,BLOCK CERAMICO 3 PARES 30 AMP,PZ,2023-07-04,2023-07-10,24.02,54,4250.26,88
CER0033,CERAMICO PASA CABLE 13MM,PZ,,2023-06-06,15,210,0,0
CER0126,"TUBO CERAMICO FUNDA 17MMØ X 36 LONG""",PZ,2023-01-04,2022-10-17,701.33333,0,3722.71,3
CERA150V-8-2B,"CERAMICO OVALADO P/ELEMENTO CAL.8,2 BARR",PZ,2023-03-09,2023-01-13,7.5,0,1062.18,97
CERA158-43,AISLADOR P/ELEMENTO CAL.8 - 4 BARR.,PZ,2020-12-03,2022-09-30,29.61769,66,0,0
CERAISON-14-28,CERAMICO OVALADO P/ ELEMENTO C-14- 2 BAR,PZ,2022-09-29,2023-05-15,7.03,131,182.63,28
CERAISOV-8-2B,CERAMICO OVALADO P/ELEMENTO CAL 8 2 BARR,PZ,2020-10-08,2023-06-14,7.99508,382,0,0
CERALT 51/,CERAMICO 12.1MMØX25CM 4 BARRENOS,PZ,,2023-05-15,44,16,0,0
CERALT1/2,CERAMICO 9.5MMØX20CM 4 BARRENOS,PZ,,2023-01-27,39,0,0,0
CERALT3/8,CERAMICO 6MMØX20CM 4 BARRENOS,PZ,,2023-02-23,28.5058,428,0,0
CERALT5/16,CERAMICO 5MMØX20CM 4 BARRENOS,PZ,,2023-01-16,33.01887,106,0,0
CERAM013A13X21,CERAMICO RANURADO CHICA IMPORTADA,PZ,2023-08-02,2023-07-11,3.16,540,3528.94,356
CERCAF-1/4,CERAMICO CAFE P/CARTUCHO 1/4X10 CM 5.6 Ø,PZ,,2023-04-24,9.76508,157.5,0,0
CERCAF3/18X15CM,CERAMICO CAFE P/CARTUCHO 3/8X15 CM,PZ,,2023-04-24,6.29,50,0,0
CERCAR 1/2,"CERAMICO P/CARTUCHO 6 BARR 1/2""	TUS""",PZ,,2023-01-13,7,0,0,0
